doc_id;titulo;tipo_documento;nota;tema;tema_secundario;tema_origem;onde_se_aplica;natureza;quem_le;porque;CORRIGIR_tema;CORRIGIR_tema_secundario
effect-of-enalapril-on-survival-in-patients-with-reduced-left-ventricular-ejecti;Effect of Enalapril on Survival in Patients with Reduced Left Ventricular Ejection Fractions and Congestive Heart Failure;original;9;Insuficiência Cardíaca;Não se aplica;llm;;implicação prognóstica;cardiologista clínico;"Ensaio clínico sobre o efeito do enalapril na sobrevida de adultos com insuficiência cardíaca crônica sintomática e fração de ejeção reduzida; o cenário é predominantemente ambulatorial, a natureza é prognóstica e terapêutica, e o leitor principal é o cardiologista clínico. Hipertensão/HAS não é tem";;
10.1056/NEJMoa1808848;Rivaroxaban in Patients with Heart Failure, Sinus Rhythm, and Coronary Disease;original;9;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio clínico de anticoagulação com rivaroxabana como intervenção adjuvante em pacientes ambulatoriais com insuficiência cardíaca isquêmica, fração de ejeção reduzida, doença coronária e ritmo sinusal; o foco primário é a população e os desfechos da IC, enquanto o uso clínico de anticoagulante just";;
10.1001/;Effects of Oral Tolvaptan in Patients Hospitalized for Worsening Heart Failure: The EVEREST Outcome Trial;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;Ensaio terapêutico em adultos hospitalizados por descompensação de insuficiência cardíaca crônica com FEVE reduzida e congestão, avaliando tolvaptana como adjuvante ao tratamento padrão. O foco é a própria insuficiência cardíaca, sem investigação de método, arritmia ou cenário de terapia intensiva c;;
effects-of-enalapril-on-mortality-in-severe-congestive-heart-failure-results-of;Effects of Enalapril on Mortality in Severe Congestive Heart Failure: Results of the Cooperative North Scandinavian Enalapril Survival Study (CONSENSUS);original;9;Insuficiência Cardíaca;Não se aplica;llm;;implicação prognóstica;cardiologista clínico;O CONSENSUS investiga o efeito do enalapril na mortalidade de adultos com insuficiência cardíaca crônica muito grave (NYHA IV). O cenário é predominantemente ambulatorial, a natureza central é prognóstica e terapêutica, e o leitor principal é o cardiologista clínico. Embora o enalapril seja um anti-;;
10.1056/NEJMoa2022190;Cardiovascular and Renal Outcomes with Empagliflozin in Heart Failure;original;9;Insuficiência Cardíaca;Cardiometabólica;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio clínico de empagliflozina em adultos com insuficiência cardíaca crônica sintomática e fração de ejeção reduzida, avaliando desfechos cardiovasculares e renais. O foco investigado é a intervenção terapêutica na IC; Cardiometabólica é secundário pela classe iSGLT2 e pela inclusão de pacientes c";;
10.1056/NEJMoa2025797;Cardiac Myosin Activation with Omecamtiv Mecarbil in Systolic Heart Failure;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"O artigo investiga uma intervenção farmacológica para adultos com insuficiência cardíaca crônica sintomática e fração de ejeção reduzida, em contexto ambulatorial e de seguimento após evento recente. O leitor principal é o cardiologista clínico; não há um segundo tema legítimo, pois o mecanismo de a";;
10.1056/NEJMoa2107038;Empagliflozin in Heart Failure with a Preserved Ejection Fraction;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;O artigo investiga diretamente a eficácia da empagliflozina como intervenção terapêutica em adultos com insuficiência cardíaca crônica e fração de ejeção preservada ou levemente reduzida. Embora a empagliflozina seja um iSGLT2 e possa ser relevante em cardiometabolismo, diabetes não é o foco princip;;
10.1016/j.jacadv.2026.102967;Achieving Equity in Generative Artificial Intelligence in Cardiovascular Medicine;revisao_narrativa;9;fora_do_escopo;Não se aplica;llm;;organização do cuidado;gestor/diretor de clínica;O artigo investiga a implantação equitativa, validação, infraestrutura e governança de IA generativa e modelos preditivos aplicados à medicina cardiovascular. Embora não seja sobre uma doença ou método diagnóstico específico, há leitor cardiológico plausível, especialmente gestores e equipes que ado;;
10.1161/STR.0000000000000513;2026 Guideline for the Early Management of Patients With Acute Ischemic Stroke: A Guideline From the American Heart Association/American Stroke Association;diretriz;9;UTI Cardiológica;Aorta/Congênitas/Genética;llm;;organização do cuidado;plantonista de UCO/UTI;"Diretriz de manejo precoce do AVC isquêmico agudo, incluindo avaliação pré-hospitalar, reperfusão e cuidados hospitalares críticos; o cenário de AVC agudo é explicitamente classificado como UTI Cardiológica, com leitor principal plantonista de UCO/UTI. O componente pediátrico selecionado justifica A";;
the-cardiac-insufficiency-bisoprolol-study-ii-cibis-ii-a-randomised-trial;The Cardiac Insufficiency Bisoprolol Study II (CIBIS-II): a randomised trial;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio randomizado de bisoprolol em adultos ambulatoriais com insuficiência cardíaca crônica sintomática e fração de ejeção reduzida, investigando redução de mortalidade por intervenção farmacológica. O cenário, a intervenção e o leitor convergem diretamente para Insuficiência Cardíaca; bradicardia ";;
10.1161/CIR.0000000000001423;2026 ACC/AHA/AACVPR/ABC/ACPM/ADA/AGS/APhA/ASPC/NLA/PCNA Guideline on the Management of Dyslipidemia;diretriz;9;Cardiometabólica;Coronária/DAC;llm;;organização do cuidado;cardiologista clínico;"Diretriz abrangente de manejo de dislipidemias em crianças e adultos, incluindo prevenção primária e secundária de doença aterosclerótica; o foco principal é lipídios e prevenção cardiometabólica, com aplicação clínica ambulatorial, enquanto a aterosclerose clínica e sua prevenção justificam Coronár";;
10.1161/HYPERTENSIONAHA.125.25633;Fibromuscular Dysplasia: Emerging Concepts Beyond the International Consensus;revisao_narrativa;9;Hipertensão/HAS;Aorta/Congênitas/Genética;llm;;organização do cuidado;cardiologista clínico;A revisão organiza rastreio, fenótipos e decisão terapêutica na displasia fibromuscular, sobretudo na estenose renal associada à hipertensão, aplicável no ambulatório pelo cardiologista clínico. O acometimento vascular não aterosclerótico com aneurismas e dissecções, além da possibilidade de dissecç;;
10.1056/NEJMoa2206286;Dapagliflozin in Heart Failure with Mildly Reduced or Preserved Ejection Fraction;original;9;Insuficiência Cardíaca;Cardiometabólica;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio terapêutico de dapagliflozina em adultos com insuficiência cardíaca e FEVE >40%, incluindo pacientes com ou sem diabetes. O foco principal é o tratamento da insuficiência cardíaca; a classe iSGLT2 e a presença de diabetes justificam Cardiometabólica como tema secundário legítimo.";;
10.1056/NEJMoa2410027;Tirzepatide for Heart Failure with Preserved Ejection Fraction and Obesity;original;9;Insuficiência Cardíaca;Cardiometabólica;llm;;intervenção terapêutica;cardiologista clínico;O artigo avalia uma intervenção terapêutica para adultos com ICFEP, com desfechos de insuficiência cardíaca e limitação funcional, portanto o tema principal é Insuficiência Cardíaca. A obesidade e o uso de tirzepatida constituem um eixo cardiometabólico central e legitimamente secundário, pois defin;;
10.1056/NEJMoa2407107;Finerenone in Heart Failure with Mildly Reduced or Preserved Ejection Fraction;original;9;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;O artigo investiga uma intervenção farmacológica para adultos com insuficiência cardíaca sintomática e fração de ejeção levemente reduzida ou preservada, aplicada no ambulatório e relevante ao cardiologista clínico. A monitorização renal e do potássio é requisito de segurança, mas não muda o foco pr;;
10.1056/NEJMoa0805450;Irbesartan in Patients with Heart Failure and Preserved Ejection Fraction;original;9;Insuficiência Cardíaca;Hipertensão/HAS;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio clínico ambulatorial de irbesartana em pacientes com insuficiência cardíaca sintomática e fração de ejeção preservada, investigando redução de morte ou hospitalização cardiovascular; o fármaco é anti-hipertensivo, mas o foco principal é o tratamento e prognóstico da ICFEp.";;
prophylactic-use-of-an-implantable-cardioverterdefibrillator-after-acute-myocard;Prophylactic Use of an Implantable Cardioverter–Defibrillator after Acute Myocardial Infarction;original;9;Arritmias/Anticoagulantes;Coronária/DAC;llm;;intervenção terapêutica;eletrofisiologista;"O artigo avalia o uso profilático de CDI após IAM recente em pacientes com FEVE reduzida e disfunção autonômica, tendo como desfecho a mortalidade; o dispositivo e a prevenção de morte súbita situam o tema principal em Arritmias/Anticoagulantes, enquanto o IAM recente constitui uma população coronar";;
prophylactic-use-of-implanted-cardiac-defibrillators-in-patients-at-high-risk-fo;Prophylactic Use of Implanted Cardiac Defibrillators in Patients at High Risk for Ventricular Arrhythmias after Coronary-Artery Bypass Graft Surgery;original;9;Arritmias/Anticoagulantes;Coronária/DAC;llm;;intervenção terapêutica;eletrofisiologista;"O artigo investiga o uso profilático de CDI, uma intervenção de eletrofisiologia para prevenção primária de morte súbita por arritmias ventriculares em pacientes de alto risco após CABG; a doença coronária e a cirurgia de revascularização são o contexto clínico relevante, justificando Coronária/DAC ";;
10.1056/NEJMra2506111;Nutrition Therapy in Critically Ill Adults;revisao_narrativa;8;UTI Cardiológica;Não se aplica;llm;;intervenção terapêutica;plantonista de UCO/UTI;"A revisão trata da intervenção nutricional na fase aguda do paciente criticamente enfermo, incluindo choque, ventilação mecânica e risco de síndrome de realimentação. O leitor cardiológico plausível é o plantonista de UCO/UTI, que aplica esse cuidado à beira do leito crítico; não investiga especific";;
10.1161/CIRCRESAHA.126.328602;Platelet Reactivity and Sex Differences: Clinical Implications for Women;revisao_narrativa;8;Coronária/DAC;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;cardiologista clínico;A revisão investiga implicações clínicas de estratégias antiplaquetárias em mulheres com DAC, SCA, ICP e DAP, portanto o foco principal é aterosclerose clínica e terapia antitrombótica no contexto coronário. O uso clínico de antiplaquetários constitui legitimamente um eixo secundário de Arritmias/An;;
10.1093/eurheartj/ehag334;Pathophysiology, prevention, and management of coronary microvascular obstruction;revisao_narrativa;8;Intervenção/Hemodinâmica;Coronária/DAC;llm;;mecanismo de doença;hemodinamicista;A revisão investiga a obstrução microvascular e o fenômeno de não-refluxo no contexto da ICP primária do STEMI, com aplicação direta no laboratório de hemodinâmica e uso de métodos invasivos como IMR, MRR, OCT e IVUS. O tema principal é Intervenção/Hemodinâmica porque o cenário e as ferramentas cent;;
10.1161/HYPERTENSIONAHA.126.26095;Nicotine-Mediated Redox and Nitrosative Stress in Cardiorenal Health;revisao_narrativa;8;Hipertensão/HAS;Cardiometabólica;llm;;mecanismo de doença;cardiologista clínico;"Revisão sobre os mecanismos pelos quais a exposição à nicotina pode contribuir para hipertensão, proteinúria e doença renal crônica em pacientes de maior risco cardiorrenal, aplicável à avaliação ambulatorial por cardiologistas clínicos. O eixo principal é hipertensão arterial; diabetes e prevenção ";;
10.1056/NEJMra2415650;Physiologic Pacing in Heart Failure;revisao_narrativa;8;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;eletrofisiologista;O artigo orienta a escolha de terapia de estimulação fisiológica — ressincronização biventricular ou estimulação do sistema de condução — em pacientes com insuficiência cardíaca e fração de ejeção reduzida, especialmente com bloqueio de ramo esquerdo, QRS largo ou alta carga prevista de estimulação ;;
10.1016/j.iac.2026.01.007;Anaphylaxis Guidelines;revisao_narrativa;8;UTI Cardiológica;Não se aplica;llm;;organização do cuidado;plantonista do pronto-socorro;Embora o artigo não seja de cardiologia, o tripé fecha legitimamente para um leitor cardiológico plausível: diretrizes de reconhecimento e tratamento de anafilaxia em emergência, incluindo manejo de casos graves e potencialmente críticos. A natureza central é organizar o cuidado e a resposta terapêu;;
10.1161/CIRCULATIONAHA.125.077491;Challenges and Future Trends in Large Vessel Vasculitis;revisao_narrativa;8;Aorta/Congênitas/Genética;Imagem Cardiovascular;llm;;organização do cuidado;cardiologista clínico;"Revisão clínica sobre vasculites de grandes vasos (arterite de células gigantes e arterite de Takayasu), com decisões de confirmação por imagem, imunossupressão e encaminhamento vascular. O leitor cardiológico plausível é o cardiologista clínico; a doença envolve grandes vasos/aorta e as estratégias";;
a-comparison-of-antiarrhythmic-drug-therapy-with-implantable-defibrillators-in-p;A Comparison of Antiarrhythmic-Drug Therapy with Implantable Defibrillators in Patients Resuscitated from Near-Fatal Ventricular Arrhythmias;original;8;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm;;intervenção terapêutica;eletrofisiologista;O estudo compara o uso clínico de cardiodesfibrilador implantável versus fármacos antiarrítmicos para prevenção secundária de morte súbita em sobreviventes de fibrilação ventricular ou taquicardia ventricular sustentada, sendo diretamente relevante ao eletrofisiologista. O acompanhamento pode envolv;;
10.1056/NEJMoa0906431;Cardiac-Resynchronization Therapy for the Prevention of Heart-Failure Events;original;8;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;eletrofisiologista;"O estudo investiga terapia de ressincronização cardíaca associada ao CDI para prevenir eventos de insuficiência cardíaca em adultos com FEVE reduzida; aplica-se principalmente ao manejo ambulatorial da IC, com forte componente de eletrofisiologia e dispositivos implantáveis.";;
10.1056/NEJMoa0908355;Ferric Carboxymaltose in Patients with Heart Failure and Iron Deficiency;original;7;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;O estudo investiga ferro intravenoso em pacientes ambulatoriais estáveis com insuficiência cardíaca com fração de ejeção reduzida e deficiência de ferro. O tripé combina: aplicação no ambulatório, natureza de intervenção terapêutica e leitor principal cardiologista clínico. A anemia/deficiência de f;;
10.1016/j.jacc.2025.12.079;Impact of Long-Term Cumulative Exposure to Wildfire Smoke PM2.5 on Cardiovascular Hospital Admissions Among Older Adults in the United States: A Population-Based Cohort Study;original;7;Cardiometabólica;Coronária/DAC;llm;;implicação prognóstica;cardiologista clínico;O artigo investiga a associação entre exposição ambiental cumulativa à fumaça de incêndios (PM2,5) e primeira hospitalização cardiovascular em idosos, uma exposição ambiental que contribui para aterosclerose e risco cardiovascular. O leitor principal é o cardiologista clínico no contexto ambulatoria;;
10.1016/j.jacc.2026.03.033;Defining Sex-Specific Severity of Left Ventricular Dilation Using an Outcome-Based Approach;original;7;Miocardiopatias;Imagem Cardiovascular;llm;;implicação prognóstica;especialista em miocardiopatias;"O artigo investiga o valor prognóstico do índice de volume diastólico final do ventrículo esquerdo, com foco em cardiomiopatia dilatada e validação em cardiomiopatia isquêmica; o especialista em miocardiopatias é o leitor principal, enquanto a ressonância cardíaca é o método de avaliação relevante e";;
10.1161/CIRCOUTCOMES.125.013159;Association Between Temporal Changes in Life’s Simple 7 Cardiovascular Health Metrics and Recurrent Coronary Heart Disease in the Atherosclerosis Risk in Communities (ARIC) Study;original;7;Coronária/DAC;Cardiometabólica;llm;;implicação prognóstica;cardiologista clínico;"O artigo investiga se mudanças longitudinais nos indicadores Life’s Simple 7 predizem recorrência de doença coronariana em adultos com DAC estabelecida. O contexto é de prevenção secundária e estratificação prognóstica ambulatorial; a doença coronariana clínica determina o tema principal. Cardiometa";;
10.1161/CIRCULATIONAHA.126.079459;Association of Clonal Hematopoiesis With Silent Brain Lesions and Cognitive Decline in Patients With Atrial Fibrillation;original;7;Arritmias/Anticoagulantes;Imagem Cardiovascular;llm;;implicação prognóstica;cardiologista clínico;"O estudo investiga, em pacientes idosos com fibrilação atrial acompanhados ambulatorialmente, a associação prognóstica entre hematopoiese clonal e lesões cerebrais silenciosas com declínio cognitivo. O eixo clínico principal é a FA, portanto Arritmias/Anticoagulantes; a RM cerebral seriada é um méto";;
10.1161/CIRCULATIONAHA.125.077666;Consumption of Fructose-Containing Food and Beverage Sources in Childhood Through to Adulthood and Risk of Hypertension: A Prospective Cohort Study;original;7;Cardiometabólica;Hipertensão/HAS;llm;;implicação prognóstica;cardiologista clínico;"O artigo investiga, em prevenção ao longo do curso de vida, a associação entre consumo de frutose e hipertensão incidente. O foco principal é um fator dietético/metabólico modificável, portanto Cardiometabólica; Hipertensão/HAS é secundário porque o desfecho central é o desenvolvimento de hipertensã";;
10.1161/CIRCOUTCOMES.125.013063;Assessing the Prognostic Value of Serial Seattle Angina Questionnaire Scores in Chronic Coronary Disease;original;7;Coronária/DAC;Não se aplica;llm;;implicação prognóstica;cardiologista clínico;"O artigo avalia o valor prognóstico de escores seriados do Seattle Angina Questionnaire em pacientes ambulatoriais com doença coronária crônica estável e isquemia moderada ou maior. O leitor principal é o cardiologista clínico, e o foco é a estratificação prognóstica na DAC; a revascularização apare";;
10.1093/eurheartj/ehag584;Oral anticoagulants, cognition, and clinical outcomes in atrial fibrillation and Alzheimer’s disease: a Swedish nationwide study;original;7;Arritmias/Anticoagulantes;Não se aplica;llm;;implicação prognóstica;cardiologista clínico;O artigo investiga o uso clínico de anticoagulantes (NOAC, varfarina ou não uso) em idosos com fibrilação atrial preexistente, relacionando-o à trajetória cognitiva e a eventos clínicos após Alzheimer incidente. O cenário é predominantemente ambulatorial e o leitor principal é o cardiologista clínic;;
10.1016/j.jacep.2026.01.037;Long-Term Outcomes and Safety of His-Purkinje Conduction System Pacing in China: The ChiCSP Study;original;7;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm;;implicação prognóstica;eletrofisiologista;"O estudo investiga desfechos de longo prazo e segurança de modalidades de estimulação do sistema His-Purkinje, incluindo LBBP/LVSP/LBBAP, em pacientes submetidos a marca-passo e ressincronização; o leitor principal é o eletrofisiologista, com relevância secundária para insuficiência cardíaca nos can";;
10.1093/eurheartj/ehag113;Treatment of angina pectoris: lessons from trials;revisao_narrativa;7;Coronária/DAC;Intervenção/Hemodinâmica;llm;;intervenção terapêutica;cardiologista clínico;"A revisão investiga o tratamento da angina estável e a seleção de pacientes com DAC obstrutiva que realmente se beneficiam de ICP, além da abordagem de ANOCA. O leitor principal é o cardiologista clínico no ambulatório; Intervenção/Hemodinâmica é secundário porque a ICP e a avaliação invasiva da fun";;
10.1093/eurheartj/ehag164;Ventricular free-wall rupture, ventricular pseudoaneurysm, and papillary muscle rupture complicating acute myocardial infarction;revisao_narrativa;7;UTI Cardiológica;Coronária/DAC;llm;;intervenção terapêutica;plantonista de UCO/UTI;"O artigo aborda complicações mecânicas catastróficas do infarto agudo do miocárdio, com foco em diagnóstico, suporte temporário e tratamento cirúrgico ou transcateter, especialmente em pacientes com choque cardiogênico. O cenário e o leitor principal são a UTI/UCO; o IAM é a doença de base que justi";;
10.1056/NEJMoa1100356;Coronary-Artery Bypass Surgery in Patients with Left Ventricular Dysfunction;original;7;Coronária/DAC;Insuficiência Cardíaca;llm;;intervenção terapêutica;cirurgião cardíaco;"O artigo investiga o efeito da cirurgia de revascularização miocárdica em adultos com doença arterial coronariana operável e disfunção ventricular esquerda grave (FEVE ≤35%). O eixo principal é a DAC tratada por CABG; a insuficiência cardíaca com fração de ejeção reduzida é uma condição clínica cent";;
10.1056/NEJMoa1806640;Transcatheter Mitral-Valve Repair in Patients with Heart Failure;original;7;Insuficiência Cardíaca;Valvulopatias;llm;;intervenção terapêutica;cardiologista clínico;"O artigo investiga uma intervenção terapêutica para pacientes ambulatoriais sintomáticos com insuficiência cardíaca e insuficiência mitral secundária importante; a IM secundária é consequência da doença ventricular, portanto Insuficiência Cardíaca é o tema principal, enquanto o reparo transcateter d";;
10.1056/NEJMoa1900486;A Fully Magnetically Levitated Left Ventricular Assist Device — Final Report;original;7;Insuficiência Cardíaca;UTI Cardiológica;llm;;intervenção terapêutica;plantonista de UCO/UTI;"O artigo compara dois dispositivos de assistência ventricular esquerda durável em adultos com insuficiência cardíaca avançada, como ponte para transplante ou terapia de destino. O tema central é a indicação e os desfechos da terapia avançada da insuficiência cardíaca; como envolve suporte circulatór";;
10.1016/j.jacadv.2026.102875;Artificial Intelligence–Enabled Serial Electrocardiograms for Prediction of All-Cause Mortality in Secondary Care Settings;original;7;Arritmias/Anticoagulantes;Não se aplica;llm;;implicação prognóstica;plantonista do pronto-socorro;O estudo investiga o uso de ECGs seriados, uma ferramenta eletrocardiográfica, para estratificar o risco de mortalidade em adultos no pronto-socorro ou internados. Pelo vocabulário, artigos cujo método central é o ECG pertencem a Arritmias/Anticoagulantes, mesmo quando o desfecho é prognóstico geral;;
10.1038/s41591-021-01659-1;The SGLT2 inhibitor empagliflozin in patients hospitalized for acute heart failure: a multinational randomized trial;original;7;Insuficiência Cardíaca;Cardiometabólica;llm;;intervenção terapêutica;cardiologista clínico;O artigo investiga diretamente o efeito terapêutico da empagliflozina em adultos hospitalizados por insuficiência cardíaca aguda, após estabilização clínica, com desfechos de benefício clínico. Embora seja um iSGLT2 e possa interessar à cardiometabólica, diabetes não é requisito e o cenário e a perg;;
10.1056/NEJMoa2203094;Acetazolamide in Acute Decompensated Heart Failure with Volume Overload;original;7;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"O artigo investiga uma intervenção diurética para aumentar a descongestão em adultos hospitalizados com insuficiência cardíaca aguda descompensada e sobrecarga volêmica. O cenário é a enfermaria, a natureza é terapêutica e o leitor principal é o cardiologista clínico; não há um segundo tema legítimo";;
10.1093/eurjpc/zwag267;A practical guide to target trial emulation: connecting randomized trials and real-world data in cardiovascular research;revisao_narrativa;7;Coronária/DAC;Cardiometabólica;llm;;método de avaliação;cardiologista clínico;"O artigo é um guia metodológico para emulação de ensaios-alvo em pesquisa cardiovascular observacional, aplicável à prevenção cardiovascular e à avaliação crítica de intervenções e desfechos relacionados à doença aterosclerótica. O leitor principal plausível é o cardiologista clínico; não há foco es";;
10.1056/NEJMoa2415471;Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction;original;7;Insuficiência Cardíaca;Não se aplica;llm;;intervenção terapêutica;cardiologista clínico;"O artigo investiga, em um RCT, o uso terapêutico de digitoxina para reduzir morte ou primeira internação em adultos com insuficiência cardíaca crônica e fração de ejeção reduzida. O cenário principal é o manejo ambulatorial da ICFEr por cardiologistas clínicos; não há segundo tema legítimo, pois arr";;
prophylactic-implantation-of-a-defibrillator-in-patients-with-myocardial-infarct;Prophylactic Implantation of a Defibrillator in Patients with Myocardial Infarction and Reduced Ejection Fraction;original;7;Arritmias/Anticoagulantes;Insuficiência Cardíaca;llm;;intervenção terapêutica;cardiologista clínico;"O estudo investiga a implantação profilática de CDI, uma intervenção de prevenção de morte súbita e terapia de arritmias, em pacientes pós-IAM com FEVE reduzida. O leitor principal é o cardiologista clínico que seleciona candidatos ao CDI; a insuficiência cardíaca com FE reduzida e a estratificação ";;
amiodarone-or-an-implantable-cardioverterdefibrillator-for-congestive-heart-fail;Amiodarone or an Implantable Cardioverter–Defibrillator for Congestive Heart Failure;original;7;Insuficiência Cardíaca;Arritmias/Anticoagulantes;llm;;intervenção terapêutica;cardiologista clínico;"Ensaio clínico em adultos com insuficiência cardíaca crônica estável e FEVE reduzida que compara terapia usual, amiodarona e CDI quanto à estratégia terapêutica e prognóstico; a IC é a condição-alvo principal, enquanto o CDI e a amiodarona constituem intervenções eletrofarmacológicas relevantes, jus";;
